name_1,name_2,true,pred,prob
MPN277,MPN278,1,0,0.49
MPN278,MPN280,1,0,0.49
MPN284,MPN285,0,0,0.49
MPN285,MPN287,0,0,0.49
MPN287,MPN288,0,0,0.49
MPN288,MPN289,1,0,0.49
MPN289,MPN290,0,0,0.49
MPN290,MPN294,0,0,0.49
MPN294,MPN295,1,0,0.49
MPN295,MPN296,1,0,0.49
MPN296,MPN297,1,0,0.49
MPN297,MPN298,1,0,0.49
MPN298,MPN299,1,0,0.49
MPN299,MPN300,1,0,0.49
MPN300,MPN301,1,1,0.8
MPN314,MPN315,1,1,0.99
MPN315,MPN316,1,0,0.49
MPN316,MPN317,1,0,0.49
MPN317,MPN318,1,0,0.49
MPN318,MPN319,1,0,0.49
MPN319,MPN320,0,0,0.49
MPN320,MPN321,1,1,1.0
MPN321,MPN322,1,0,0.49
MPN322,MPN323,1,1,0.995
MPN323,MPN324,1,1,1.0
MPN324,MPN325,1,0,0.49
MPN325,MPN326,1,1,0.89
MPN326,MPN327,1,1,0.79
MPN327,MPN328,1,0,0.49
MPN328,MPN329,1,0,0.49
MPN329,MPN330,1,0,0.49
MPN337,MPN338,1,0,0.49
MPN338,MPN339,1,0,0.49
MPN339,MPN340,1,0,0.49
MPN340,MPN341,1,0,0.49
MPN341,MPN342,0,0,0.49
MPN342,MPN343,0,0,0.49
MPN348,MPN349,1,0,0.49
MPN349,MPN358,0,0,0.49
MPN372,MPN377,0,0,0.49
MPN377,MPN378,1,0,0.49
MPN378,MPN379,1,0,0.49
MPN379,MPN380,1,1,1.0
MPN380,MPN381,0,0,0.49
MPN381,MPN382,1,0,0.49
MPN382,MPN397,0,0,0.49
MPN414,MPN415,0,0,0.49
MPN415,MPN416,1,1,0.615
MPN416,MPN417,1,1,0.57
MPN417,MPN427,0,0,0.49
MPN427,MPN445,0,0,0.49
MPN483,MPN487,0,0,0.49
MPN487,MPN488,1,1,0.81
MPN488,MPN491,0,0,0.49
MPN506,MPN507,1,0,0.49
MPN525,MPN526,1,0,0.49
MPN528,MPN530,0,0,0.49
MPN534,MPN535,1,0,0.49
MPN535,MPN536,0,1,1.0
MPN536,MPN538,0,0,0.49
MPN538,MPN539,1,1,0.9199999999999999
MPN539,MPN540,1,1,0.94
MPN540,MPN542,1,0,0.49
MPN542,MPN543,1,0,0.49
MPN543,MPN544,1,0,0.49
MPN544,MPN557,0,0,0.49
MPN557,MPN558,1,1,0.98
MPN558,MPN559,1,0,0.49
MPN559,MPN561,0,0,0.49
MPN561,MPN607,0,0,0.49
MPN607,MPN623,0,0,0.49
MPN623,MPN624,1,0,0.49
MPN624,MPN625,1,0,0.49
MPN625,MPN626,0,0,0.49
MPN626,MPN631,0,0,0.49
MPN631,MPN632,1,1,0.85
MPN635,MPN636,0,0,0.49
MPN636,MPN637,0,0,0.49
MPN637,MPN638,0,0,0.49
MPN666,MPN667,1,0,0.49
MPN667,MPN669,0,0,0.49
MPN669,MPN674,0,0,0.49
MPN674,MPN001,0,0,0.49
MPN688,MPN687,1,0,0.49
MPN687,MPN686,1,0,0.49
MPN686,MPN685,0,0,0.49
MPN685,MPN684,1,0,0.49
MPN684,MPN683,1,0,0.49
MPN683,MPN682,0,0,0.49
MPN682,MPN681,1,0,0.49
MPN681,MPN680,1,0,0.49
MPN680,MPN679,1,0,0.49
MPN679,MPN678,0,1,0.98
MPN678,MPN677,1,1,0.8300000000000001
MPN673,MPN672,1,0,0.49
MPN672,MPN671,1,0,0.49
MPN670,MPN668,0,0,0.49
MPN648,MPN647,1,0,0.49
MPN647,MPN646,1,0,0.49
MPN646,MPN645,1,0,0.49
MPN645,MPN644,1,0,0.49
MPN644,MPN643,1,0,0.49
MPN643,MPN642,1,0,0.49
MPN642,MPN641,1,0,0.49
MPN641,MPN640,1,0,0.49
MPN640,MPN639,1,0,0.49
MPN639,MPN630,0,0,0.49
MPN630,MPN629,0,0,0.49
MPN629,MPN628,1,1,0.98
MPN628,MPN627,1,1,0.975
MPN627,MPN622,0,0,0.49
MPN622,MPN621,1,0,0.49
MPN621,MPN620,1,0,0.49
MPN620,MPN619,1,0,0.49
MPN619,MPN618,1,0,0.49
MPN618,MPN617,0,0,0.49
MPN617,MPN616,1,1,1.0
MPN616,MPN615,0,0,0.49
MPN615,MPN614,0,0,0.49
MPN614,MPN613,1,0,0.49
MPN613,MPN612,0,0,0.49
MPN611,MPN610,1,1,0.99
MPN610,MPN609,1,1,0.98
MPN609,MPN608,1,1,0.965
MPN608,MPN606,0,0,0.49
MPN606,MPN605,1,0,0.49
MPN605,MPN604,1,0,0.49
MPN604,MPN603,1,1,0.91
MPN603,MPN602,1,1,0.8500000000000001
MPN602,MPN601,1,1,0.895
MPN601,MPN600,1,1,0.995
MPN600,MPN599,1,1,0.995
MPN599,MPN598,1,1,0.995
MPN598,MPN597,1,1,0.975
MPN592,MPN591,1,0,0.49
MPN591,MPN590,1,0,0.49
MPN590,MPN589,1,0,0.49
MPN589,MPN588,0,0,0.49
MPN588,MPN587,1,0,0.49
MPN587,MPN586,1,0,0.49
MPN586,MPN585,1,0,0.49
MPN585,MPN584,1,0,0.49
MPN582,MPN581,0,0,0.49
MPN581,MPN580,0,0,0.49
MPN577,MPN576,0,0,0.49
MPN574,MPN573,1,1,0.98
MPN573,MPN572,1,1,0.74
MPN572,MPN571,0,0,0.49
MPN571,MPN570,1,0,0.49
MPN570,MPN569,0,0,0.49
MPN569,MPN568,1,0,0.49
MPN568,MPN567,0,0,0.49
MPN567,MPN566,1,0,0.49
MPN566,MPN565,1,0,0.49
MPN565,MPN564,0,0,0.49
MPN564,MPN563,1,0,0.49
MPN563,MPN562,1,0,0.49
MPN556,MPN555,1,0,0.49
MPN555,MPN554,1,0,0.49
MPN554,MPN553,1,0,0.49
MPN553,MPN552,1,0,0.49
MPN552,MPN551,1,0,0.49
MPN551,MPN550,1,1,0.78
MPN550,MPN549,0,0,0.49
MPN549,MPN548,1,0,0.49
MPN548,MPN547,0,0,0.49
MPN547,MPN546,1,0,0.49
MPN546,MPN545,1,1,0.82
MPN545,MPN541,0,0,0.49
MPN541,MPN537,0,0,0.49
MPN537,MPN533,0,0,0.49
MPN533,MPN532,1,0,0.49
MPN532,MPN531,0,0,0.49
MPN531,MPN529,0,0,0.49
MPN529,MPN527,0,0,0.49
MPN527,MPN524,0,0,0.49
MPN520,MPN519,1,0,0.49
MPN519,MPN518,0,0,0.49
MPN517,MPN516,1,0,0.49
MPN516,MPN515,1,1,0.95
MPN513,MPN512,0,0,0.49
MPN512,MPN511,1,0,0.49
MPN511,MPN510,0,0,0.49
MPN510,MPN509,0,0,0.49
MPN509,MPN508,0,0,0.49
MPN496,MPN495,1,1,1.0
MPN495,MPN494,1,1,1.0
MPN494,MPN493,1,0,0.49
MPN493,MPN492,1,1,0.99
MPN492,MPN490,0,0,0.49
MPN490,MPN489,0,0,0.49
MPN482,MPN481,1,0,0.49
MPN481,MPN480,1,0,0.49
MPN480,MPN479,0,0,0.49
MPN479,MPN478,1,0,0.49
MPN478,MPN477,1,0,0.49
MPN477,MPN476,1,0,0.49
MPN476,MPN475,1,1,0.99
MPN474,MPN473,1,0,0.49
MPN473,MPN472,1,0,0.49
MPN472,MPN471,0,0,0.49
MPN471,MPN470,1,0,0.49
MPN470,MPN469,1,0,0.49
MPN456,MPN455,0,0,0.49
MPN455,MPN454,0,0,0.49
MPN454,MPN453,1,0,0.49
MPN453,MPN452,1,0,0.49
MPN452,MPN451,0,0,0.49
MPN451,MPN450,0,0,0.49
MPN450,MPN449,1,0,0.49
MPN449,MPN448,1,0,0.49
MPN448,MPN447,0,0,0.49
MPN447,MPN446,1,0,0.49
MPN436,MPN435,1,0,0.49
MPN435,MPN434,0,0,0.49
MPN434,MPN433,0,0,0.49
MPN433,MPN432,0,1,1.0
MPN432,MPN431,1,1,0.875
MPN431,MPN430,0,0,0.49
MPN430,MPN429,1,1,1.0
MPN429,MPN428,1,1,0.99
MPN428,MPN426,0,0,0.49
MPN426,MPN425,1,0,0.49
MPN425,MPN424,1,0,0.49
MPN424,MPN423,1,0,0.49
MPN423,MPN422,1,0,0.49
MPN422,MPN421,0,0,0.49
MPN421,MPN420,1,0,0.49
MPN420,MPN418,1,0,0.49
MPN418,MPN419,1,0,0.49
MPN407,MPN401,0,0,0.49
MPN400,MPN399,1,0,0.49
MPN399,MPN398,1,0,0.49
MPN398,MPN396,0,0,0.49
MPN396,MPN395,1,0,0.49
MPN354,MPN353,1,0,0.49
MPN336,MPN313,0,0,0.49
MPN313,MPN293,0,0,0.49
MPN293,MPN292,1,0,0.49
MPN292,MPN291,1,0,0.49
MPN291,MPN276,0,0,0.49
MPN276,MPN274,0,0,0.49
MPN265,MPN245,0,0,0.49
MPN245,MPN214,0,0,0.49
MPN138,MPN137,0,0,0.49
MPN137,MPN124,0,0,0.49
MPN077,MPN076,0,0,0.49
MPN076,MPN074,0,0,0.49
MPN074,MPN073,1,0,0.49
MPN073,MPN072,1,0,0.49
MPN072,MPN071,1,0,0.49
MPN071,MPN070,1,0,0.49
MPN070,MPN069,1,0,0.49
MPN069,MPN068,1,0,0.49
MPN068,MPN067,1,0,0.49
MPN067,MPN061,0,0,0.49
MPN061,MPN051,0,0,0.49
MPN051,MPN050,1,1,0.94
MPN034,MPN033,1,0,0.49
MPN033,MPN032,1,0,0.49
